Orthogroup	C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	ptanmaker17.all.maker.proteins	uniprot-monotropa+hypopitys	uniprot-vaccinium+corymbosum	Total
OG0000432	25	0	0	0	25
OG0000433	25	0	0	0	25
OG0000434	23	1	0	1	25
OG0000435	25	0	0	0	25
OG0000436	25	0	0	0	25
OG0000437	25	0	0	0	25
OG0000438	24	1	0	0	25
OG0000439	24	1	0	0	25
OG0000440	25	0	0	0	25
OG0000441	25	0	0	0	25
OG0000442	25	0	0	0	25
OG0000443	25	0	0	0	25
OG0000444	25	0	0	0	25
OG0000445	1	24	0	0	25
OG0000446	1	24	0	0	25
OG0000447	9	16	0	0	25
OG0000448	24	1	0	0	25
OG0000449	25	0	0	0	25
OG0000450	0	25	0	0	25
OG0000451	0	25	0	0	25
OG0000452	0	25	0	0	25
OG0000453	0	0	25	0	25
OG0000454	24	0	0	0	24
OG0000455	18	1	4	1	24
OG0000456	24	0	0	0	24
OG0000457	24	0	0	0	24
OG0000458	24	0	0	0	24
OG0000459	24	0	0	0	24
OG0000460	24	0	0	0	24
OG0000461	23	1	0	0	24
OG0000462	24	0	0	0	24
OG0000463	24	0	0	0	24
OG0000464	24	0	0	0	24
OG0000465	23	1	0	0	24
OG0000466	24	0	0	0	24
OG0000467	24	0	0	0	24
OG0000468	24	0	0	0	24
OG0000469	23	1	0	0	24
OG0000470	24	0	0	0	24
OG0000471	24	0	0	0	24
OG0000472	24	0	0	0	24
OG0000473	24	0	0	0	24
OG0000474	24	0	0	0	24
OG0000475	24	0	0	0	24
OG0000476	24	0	0	0	24
OG0000477	24	0	0	0	24
OG0000478	24	0	0	0	24
OG0000479	24	0	0	0	24
OG0000480	24	0	0	0	24
OG0000481	24	0	0	0	24
OG0000482	24	0	0	0	24
OG0000483	2	22	0	0	24
OG0000484	17	1	4	2	24
OG0000485	0	24	0	0	24
OG0000486	0	24	0	0	24
OG0000487	23	0	0	0	23
OG0000488	23	0	0	0	23
OG0000489	23	0	0	0	23
OG0000490	23	0	0	0	23
OG0000491	23	0	0	0	23
OG0000492	22	1	0	0	23
OG0000493	23	0	0	0	23
OG0000494	23	0	0	0	23
OG0000495	23	0	0	0	23
OG0000496	23	0	0	0	23
OG0000497	23	0	0	0	23
OG0000498	23	0	0	0	23
OG0000499	23	0	0	0	23
OG0000500	22	1	0	0	23
OG0000501	23	0	0	0	23
OG0000502	23	0	0	0	23
OG0000503	23	0	0	0	23
OG0000504	22	1	0	0	23
OG0000505	23	0	0	0	23
OG0000506	23	0	0	0	23
OG0000507	23	0	0	0	23
OG0000508	23	0	0	0	23
OG0000509	22	0	0	1	23
OG0000510	23	0	0	0	23
OG0000511	23	0	0	0	23
OG0000512	22	1	0	0	23
OG0000513	23	0	0	0	23
OG0000514	23	0	0	0	23
OG0000515	23	0	0	0	23
OG0000516	23	0	0	0	23
OG0000517	23	0	0	0	23
OG0000518	23	0	0	0	23
OG0000519	23	0	0	0	23
OG0000520	23	0	0	0	23
OG0000521	23	0	0	0	23
OG0000522	1	22	0	0	23
OG0000523	23	0	0	0	23
OG0000524	23	0	0	0	23
OG0000525	23	0	0	0	23
OG0000526	1	22	0	0	23
OG0000527	23	0	0	0	23
OG0000528	0	23	0	0	23
OG0000529	0	23	0	0	23
OG0000530	0	23	0	0	23
OG0000531	22	0	0	0	22
OG0000532	22	0	0	0	22
OG0000533	22	0	0	0	22
OG0000534	21	1	0	0	22
OG0000535	21	1	0	0	22
OG0000536	20	1	0	1	22
OG0000537	21	1	0	0	22
OG0000538	22	0	0	0	22
OG0000539	22	0	0	0	22
OG0000540	22	0	0	0	22
OG0000541	22	0	0	0	22
OG0000542	22	0	0	0	22
OG0000543	22	0	0	0	22
OG0000544	22	0	0	0	22
OG0000545	22	0	0	0	22
OG0000546	22	0	0	0	22
OG0000547	22	0	0	0	22
OG0000548	22	0	0	0	22
OG0000549	22	0	0	0	22
OG0000550	22	0	0	0	22
OG0000551	22	0	0	0	22
OG0000552	22	0	0	0	22
OG0000553	22	0	0	0	22
OG0000554	22	0	0	0	22
OG0000555	22	0	0	0	22
OG0000556	22	0	0	0	22
OG0000557	22	0	0	0	22
OG0000558	22	0	0	0	22
OG0000559	22	0	0	0	22
OG0000560	22	0	0	0	22
OG0000561	22	0	0	0	22
OG0000562	21	1	0	0	22
OG0000563	22	0	0	0	22
OG0000564	22	0	0	0	22
OG0000565	22	0	0	0	22
OG0000566	22	0	0	0	22
OG0000567	1	21	0	0	22
OG0000568	22	0	0	0	22
OG0000569	21	1	0	0	22
OG0000570	22	0	0	0	22
OG0000571	22	0	0	0	22
OG0000572	22	0	0	0	22
OG0000573	1	21	0	0	22
OG0000574	22	0	0	0	22
OG0000575	22	0	0	0	22
OG0000576	0	22	0	0	22
OG0000577	0	22	0	0	22
OG0000578	0	22	0	0	22
OG0000579	0	22	0	0	22
OG0000580	0	22	0	0	22
OG0000581	0	22	0	0	22
OG0000582	21	0	0	0	21
OG0000583	20	1	0	0	21
OG0000584	21	0	0	0	21
OG0000585	21	0	0	0	21
OG0000586	20	1	0	0	21
OG0000587	21	0	0	0	21
OG0000588	21	0	0	0	21
OG0000589	21	0	0	0	21
OG0000590	20	1	0	0	21
OG0000591	20	1	0	0	21
OG0000592	21	0	0	0	21
OG0000593	21	0	0	0	21
OG0000594	21	0	0	0	21
OG0000595	21	0	0	0	21
OG0000596	21	0	0	0	21
OG0000597	21	0	0	0	21
OG0000598	21	0	0	0	21
OG0000599	20	1	0	0	21
OG0000600	21	0	0	0	21
OG0000601	21	0	0	0	21
OG0000602	21	0	0	0	21
OG0000603	20	1	0	0	21
OG0000604	21	0	0	0	21
OG0000605	21	0	0	0	21
OG0000606	21	0	0	0	21
OG0000607	21	0	0	0	21
OG0000608	21	0	0	0	21
OG0000609	21	0	0	0	21
OG0000610	21	0	0	0	21
OG0000611	21	0	0	0	21
OG0000612	21	0	0	0	21
OG0000613	21	0	0	0	21
OG0000614	21	0	0	0	21
OG0000615	21	0	0	0	21
OG0000616	21	0	0	0	21
OG0000617	21	0	0	0	21
OG0000618	21	0	0	0	21
OG0000619	21	0	0	0	21
OG0000620	21	0	0	0	21
OG0000621	21	0	0	0	21
OG0000622	21	0	0	0	21
OG0000623	20	1	0	0	21
OG0000624	21	0	0	0	21
OG0000625	0	21	0	0	21
OG0000626	20	0	0	0	20
OG0000627	20	0	0	0	20
OG0000628	20	0	0	0	20
OG0000629	20	0	0	0	20
OG0000630	20	0	0	0	20
OG0000631	20	0	0	0	20
OG0000632	20	0	0	0	20
OG0000633	19	1	0	0	20
OG0000634	20	0	0	0	20
OG0000635	20	0	0	0	20
OG0000636	20	0	0	0	20
OG0000637	20	0	0	0	20
OG0000638	20	0	0	0	20
OG0000639	20	0	0	0	20
OG0000640	20	0	0	0	20
OG0000641	20	0	0	0	20
OG0000642	19	1	0	0	20
OG0000643	20	0	0	0	20
OG0000644	19	1	0	0	20
OG0000645	20	0	0	0	20
OG0000646	20	0	0	0	20
OG0000647	20	0	0	0	20
OG0000648	20	0	0	0	20
OG0000649	20	0	0	0	20
OG0000650	20	0	0	0	20
OG0000651	20	0	0	0	20
OG0000652	20	0	0	0	20
OG0000653	20	0	0	0	20
OG0000654	19	1	0	0	20
OG0000655	20	0	0	0	20
OG0000656	19	1	0	0	20
OG0000657	20	0	0	0	20
OG0000658	20	0	0	0	20
OG0000659	20	0	0	0	20
OG0000660	20	0	0	0	20
OG0000661	20	0	0	0	20
OG0000662	19	1	0	0	20
OG0000663	20	0	0	0	20
OG0000664	20	0	0	0	20
OG0000665	20	0	0	0	20
OG0000666	20	0	0	0	20
OG0000667	20	0	0	0	20
OG0000668	20	0	0	0	20
OG0000669	20	0	0	0	20
OG0000670	20	0	0	0	20
OG0000671	20	0	0	0	20
OG0000672	20	0	0	0	20
OG0000673	20	0	0	0	20
OG0000674	1	19	0	0	20
OG0000675	20	0	0	0	20
OG0000676	20	0	0	0	20
OG0000677	1	19	0	0	20
OG0000678	0	20	0	0	20
OG0000679	0	20	0	0	20
OG0000680	0	20	0	0	20
OG0000681	0	20	0	0	20
OG0000682	0	20	0	0	20
OG0000683	0	20	0	0	20
OG0000684	0	20	0	0	20
OG0000685	0	20	0	0	20
OG0000686	19	0	0	0	19
OG0000687	19	0	0	0	19
OG0000688	19	0	0	0	19
OG0000689	18	1	0	0	19
OG0000690	19	0	0	0	19
OG0000691	18	1	0	0	19
OG0000692	19	0	0	0	19
OG0000693	19	0	0	0	19
OG0000694	18	1	0	0	19
OG0000695	19	0	0	0	19
OG0000696	19	0	0	0	19
OG0000697	19	0	0	0	19
OG0000698	19	0	0	0	19
OG0000699	19	0	0	0	19
OG0000700	19	0	0	0	19
OG0000701	19	0	0	0	19
OG0000702	19	0	0	0	19
OG0000703	19	0	0	0	19
OG0000704	19	0	0	0	19
OG0000705	19	0	0	0	19
OG0000706	19	0	0	0	19
OG0000707	18	1	0	0	19
OG0000708	19	0	0	0	19
OG0000709	19	0	0	0	19
OG0000710	19	0	0	0	19
OG0000711	19	0	0	0	19
OG0000712	19	0	0	0	19
OG0000713	19	0	0	0	19
OG0000714	19	0	0	0	19
OG0000715	19	0	0	0	19
OG0000716	19	0	0	0	19
OG0000717	19	0	0	0	19
OG0000718	19	0	0	0	19
OG0000719	19	0	0	0	19
OG0000720	19	0	0	0	19
OG0000721	19	0	0	0	19
OG0000722	19	0	0	0	19
OG0000723	18	1	0	0	19
OG0000724	19	0	0	0	19
OG0000725	19	0	0	0	19
OG0000726	19	0	0	0	19
OG0000727	19	0	0	0	19
OG0000728	19	0	0	0	19
OG0000729	19	0	0	0	19
OG0000730	19	0	0	0	19
